Title,Publisher,TV Format,MD5,Bankswitch Type,7800 Detected,7800 works,7800 plays through,notes
Bridge,Activision,NTSC,cfd6a8b23d12b0462baf6a05ef347cd8,4K,,,,
Buck Rogers - Planet of Zoom,Sega,NTSC,1cf59fc7b11cdbcefe931e41641772f6,F8,,,,
Bugs Bunny,Atari ,NTSC,fa4404fabc094e3a31fcd7b559cdd029,F8,,,,
Bugs,Data Age,NTSC,68597264c8e57ada93be3a5be4565096,4K,,,,
Bump 'n' Jump,M Network,NTSC,76f53abbbf39a0063f24036d6ee0968a,E7,E7,,,
BurgerTime,M Network,NTSC,0443cfa9872cdb49069186413275fa21,E7,E7,,,
Burning Desire,PlayAround,NTSC,19d6956ff17a959c48fcd8f4706a848d,4K,,,,
Cakewalk,CommaVid,NTSC,7f6533386644c7d6358f871666c86e79,4K,,,,
California Games,Epyx,NTSC,9ab72d3fd2cc1a0c9adb504502579037,F6,,,,
Canyon Bomber,Atari,NTSC,3051b6071cb26377cd428af155e1bfc4,2K,,,,
Carnival,Coleco,NTSC,028024fb8e5e5f18ea586652f9799c96,4K,,,,
Casino,Atari,NTSC,b816296311019ab69a21cb9e9e235d12,4K,,,,
Cat Trax,UA Limited,NTSC,76f66ce3b83d7a104a899b4b3354a2f2,4K,,,,
Cathouse Blues,PlayAround,NTSC,9e192601829f5f5c2d3b51f8ae25dbe5,4K,,,,
Cat Trax,UA Limited,NTSC,76f66ce3b83d7a104a899b4b3354a2f2,4K,,,,
Centipede,Atari,NTSC,91c2098e88a6b13f977af8c003e0bca5,F8,,,,
Challenge,HES ,PAL,9905f9f4706223dadee84f6867ede8e3,F8,,,,
"Challenge of.... Nexar, The",Spectravision,NTSC,5d799bfa9e1e7b6224877162accada0d,4K,,,,
Chase the Chuckwagon,Spectravideo,NTSC,3e33ac10dcf2dff014bc1decf8a9aea4,4K,,,,
Checkers,Atari ,PAL,bce93984b920e9b56cf24064f740fe78,2K,,,,
Checkers,Activision,NTSC,3f5a43602f960ede330cd2f43a25139e,2K,,,,
China Syndrome,Spectravision,NTSC,749fec9918160921576f850b2375b516,4K,,,,
Chopper Command,CCE,NTSC,85a4133f6dcf4180e36e70ad0fca0921,4K,,,,
Kung Fu Superkicks,Telegames,NTSC,3f58f972276d1e4e0e09582521ed7a5b,F8,,,,
Kung Fu Superkicks,Telegames,NTSC,3f58f972276d1e4e0e09582521ed7a5b,F8,,,,
Chase the Chuckwagon,Spectravideo,NTSC,3e33ac10dcf2dff014bc1decf8a9aea4,4K,,,,
Circus Atari,Atari,NTSC,a7b96a8150600b3e800a4689c3ec60a2,4K,,,,
Circus Atari,Atari Joystick,NTSC,a29df35557f31dfea2e2ae4609c6ebb7,4K,,,,
climber5_NTSC,,NTSC,13a11a95c9a9fb0465e419e4e2dbd50a,4K,,,,
Walker,Suntek ,PAL,7ff53f6922708119e7bf478d7d618c86,4K,,,,
Coco Nuts,Telesys,NTSC,1e587ca91518a47753a28217cd4fd586,4K,,,,
Codebreaker,Atari,NTSC,5846b1d34c296bf7afc2fa05bbc16e98,2K,,,,
Codebreaker,Atari,NTSC,83f50fa0fbae545e4b88bb53b788c341,2K,,,,
Pepsi Invaders,Atari,NTSC,212d0b200ed8b45d8795ad899734d7d7,4K,,,,
Go Go Home,Unknown,NTSC,4093382187f8387e6d011883e8ea519b,4K,,,,
Color Bar Generator,VideoSoft,NTSC,76a9bf05a6de8418a3ebc7fc254b71b4,4K,,,,
Colors Demo,PD,NTSC,3f9431cc8c5e2f220b2ac14bbc8231f4,4K,,,,
Combat,Atari ,PAL,0ef64cdbecccb7049752a3de0b7ade14,2K,,,,
Combat,Atari,NTSC,be35d8b37bbc03848a5f020662a99909,2K,,,,
Combat Two,Atari ,NTSC,b0c9cf89a6d4e612524f4fd48b5bb562,F8,,,,
Commando Raid,U.S. Games,NTSC,f457674cef449cfd85f21db2b4f631a7,4K,,,,
Commando,Activision,NTSC,5d2cc33ca798783dee435eb29debf6d6,F6,,,,
Hunt & Score - Memory Match,Atari,NTSC,102672bbd7e25cd79f4384dd7214c32b,2K,,,,
Vulture Attack,K-Tel Vision,NTSC,1f21666b8f78b65051b7a609f1d48608,4K,,,,
Vulture Attack,K-Tel Vision,NTSC,1f21666b8f78b65051b7a609f1d48608,4K,,,,
Confrontation,Answer ,NTSC,f965cc981cbb0822f955641f8d84e774,4K,,,,
Congo Bongo,Sega,NTSC,00b7b4cbec81570642283e7fc1ef17af,F8,,,,
Congo Bongo,Sega,NTSC,00b7b4cbec81570642283e7fc1ef17af,F8,,,,
